Ayurvedic_Diagnosis,Near_Correlated_English_Equivalent,Category,Sub_Category,Symptom_P1,Symptom_P2,Remarks 
Vata Rakta Upadrava,COMPLICATIONS OF GOUT ,ABDOMINAL REGION,LUMBAR REGION,BURNING,,
Vata Rakta Upadrava,COMPLICATIONS OF GOUT ,Head & Face,MOUTH,BURNING,,
Vata Rakta Upadrava,COMPLICATIONS OF GOUT ,Head & Face,NOSE,BURNING,,
Vata Rakta Upadrava,COMPLICATIONS OF GOUT ,Upper Body,SHOULDERS,BURNING,,
Vata Rakta Upadrava,COMPLICATIONS OF GOUT ,Back & Spine,WAIST,BURNING,,
Vata Rakta Upadrava,COMPLICATIONS OF GOUT ,Skin & External Features,Cutaneous Symptoms,BOILS,,
Vata Rakta Upadrava,COMPLICATIONS OF GOUT ,Vital Organs,Heart,Abnormal Heart Rhythm,,
Acharna Yoni Rog,Acharna Vaginal Disorder,General Systemic Symptoms,Desires,Strong desire for sexual activity,,
Acharna Yoni Rog,Acharna Vaginal Disorder,Urogenital & Pelvic System,VAGINA,ITCHING,,
Nava Amavata,Acute Rheumatoid Arthritis,Body Waste & Excretions,Oral Excretions,VOMITING,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Miscellaneous,VERTIGO,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,ANKLES,SWELLING,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,FEET,SWELLING,,
Nava Amavata,Acute Rheumatoid Arthritis,ARMS & HANDS,HANDS,SWELLING,,
Nava Amavata,Acute Rheumatoid Arthritis,Head & Face,HEAD,SWELLING,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,KNEES,SWELLING,,
Nava Amavata,Acute Rheumatoid Arthritis,Back & Spine,SACRAL REGION,SWELLING,,
Nava Amavata,Acute Rheumatoid Arthritis,Back & Spine,WAIST,SWELLING,,
Nava Amavata,Acute Rheumatoid Arthritis,Urogenital & Pelvic System,PELVIC REGION,STIFFNESS ,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,ANKLES,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,FEET,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,ABDOMINAL REGION,GENERAL ABDOMEN,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,ARMS & HANDS,HANDS,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,Head & Face,HEAD,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,KNEES,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,Back & Spine,SACRAL REGION,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,THIGHS,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,Back & Spine,WAIST,STIFFNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,ANKLES,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,FEET,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,ABDOMINAL REGION,GENERAL ABDOMEN,PAIN,,
Nava Amavata,Acute Rheumatoid Arthritis,ARMS & HANDS,HANDS,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,Head & Face,HEAD,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,KNEES,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,Urogenital & Pelvic System,PELVIC REGION,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,Back & Spine,SACRAL REGION,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,THIGHS,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,Back & Spine,WAIST,PAIN,,LIKE SCORPIO BITE
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Loss of Courage,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Sleep disorders,INSOMNIA,,
Nava Amavata,Acute Rheumatoid Arthritis,Head & Face,TOUNGE,Insipid Taste,,
Nava Amavata,Acute Rheumatoid Arthritis,Digestive System,Digestive Disorders,INDIGESTION,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Sleep disorders,HYPERSOMNIA,,During the day
Nava Amavata,Acute Rheumatoid Arthritis,Body Waste & Excretions,Oral Secretions,HYPERSALIVATION,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
Nava Amavata,Acute Rheumatoid Arthritis,ABDOMINAL REGION,GENERAL ABDOMEN,HARDNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,Vital Organs,Stomach,Gurgling sound in stomach,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Whole-Body Symptoms,CROOKEDNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,FEET,CROOKEDNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,ARMS & HANDS,FINGERS,CROOKEDNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,LOWER BODY,KNEES,CROOKEDNESS,,
Nava Amavata,Acute Rheumatoid Arthritis,Body waste & Excretions,DEFECATION,CONSTIPATION,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Whole-Body Symptoms,BURNING,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,JOINTS,BURNING,,
Nava Amavata,Acute Rheumatoid Arthritis,Upper Body,CHEST,BURNING,,
Nava Amavata,Acute Rheumatoid Arthritis,ABDOMINAL REGION,GENERAL ABDOMEN,BLOATING,,
Nava Amavata,Acute Rheumatoid Arthritis,General Systemic Symptoms,Aversions,Aversion to food,,
Nava Amavata,Acute Rheumatoid Arthritis,Vital Organs,Heart,Abnormal Heart Rhythm,,
Nava Amavata,Acute Rheumatoid Arthritis,Body Waste & Excretions,MICTURITION,ABNORMAL,EXCESSIVE URINATION,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Whole-Body Symptoms,WEAKNESS,,
Vega Dharana - Shudha ,Suppression of Urge to Eat ,General Systemic Symptoms,Whole-Body Symptoms,WEAKNESS,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,General Systemic Symptoms,Whole-Body Symptoms,WEAKNESS,,
Vega Dharana - Shudha ,Suppression of Urge to Eat ,General Systemic Symptoms,Whole-Body Symptoms,Emaciation,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Body Waste & Excretions,Oral Excretions,VOMITING,,
Vega Dharana - Shudha ,Suppression of Urge to Eat ,General Systemic Symptoms,Miscellaneous,VERTIGO,,
Vega Dharana - Ashru ,Suppression of Urge to Cry (Tears),General Systemic Symptoms,Miscellaneous,VERTIGO,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,General Systemic Symptoms,Miscellaneous,VERTIGO,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,Cutaneous symptoms,URTICARIAL RASHES,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,General Systemic Symptoms,Whole-Body Symptoms,TREMORS,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,LOWER BODY,FEET,TREMORS,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,ARMS & HANDS,HANDS,TREMORS,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,ARMS & HANDS,HANDS,TREMORS,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,Head & Face,HEAD,TREMORS,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,Head & Face,HEAD,TREMORS,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,Neck & Throat,NECK,TREMORS,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Whole-Body Symptoms,SWELLING,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Back & Spine,BACK,STIFFNESS,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,General Systemic Symptoms,Whole-Body Symptoms,STIFFNESS,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Neck & Throat,NECK,STIFFNESS,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Digestive System,ERUCTATION,Sound-producing burp during eructation,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,LOWER BODY,Entire lower body,SCIATICA,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Skin & External Features,Cutaneous symptoms,Reduced tactile sense,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,Cutaneous symptoms,RASHES,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Body Temperature Disturbances,PYREXIA,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,Head & Face,EARS,Loss of hearing,Partial,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Vital Organs,INTESTINES,PAIN IN LARGE INTESTINE,,SEVERE
Vega Dharana - Purisha,Suppression of Urge to Defecate,Urogenital & Pelvic System,ANUS,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Urogenital & Pelvic System,ANUS,PAIN,SCISSORING,
Vega Dharana - Shukra,Suppression of Urges - Semen (Ejaculation),General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
Vega Dharana - Shudha ,Suppression of Urge to Eat ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
Vega Dharana - Shukra,Suppression of Urges - Semen (Ejaculation),Upper Body,CARDIAC REGION,PAIN,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,Upper Body,CARDIAC REGION,PAIN,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,Upper Body,CARDIAC REGION,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Upper Body,CHEST,PAIN,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,Upper Body,CHEST,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Digestive System,DIGESTIVE TRACT,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Digestive System,Esophagus,PAIN,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,ABDOMINAL REGION,GENERAL ABDOMEN,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,ABDOMINAL REGION,GENERAL ABDOMEN,PAIN,COLIC,
Vega Dharana - Purisha,Suppression of Urge to Defecate,ABDOMINAL REGION,GENERAL ABDOMEN,PAIN,,SEVERE
Vega Dharana - Mutra,Suppression of Urges - Micturition,Head & Face,HEAD,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Head & Face,HEAD,PAIN,,SEVERE PAIN 
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Head & Face,HEAD,PAIN,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Head & Face,HEAD,PAIN,ONE SIDE,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,Head & Face,HEAD,PAIN,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,Body Waste & Excretions,MICTURITION,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Head & Face,MOUTH,PAIN,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,Urogenital & Pelvic System,PELVIC GIRDLE,PAIN,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,Back & Spine,SACRAL REGION,PAIN,,
Vega Dharana - Shukra,Suppression of Urges - Semen (Ejaculation),Urogenital & Pelvic System,SCROTUM,PAIN,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Vital Organs,Stomach,PAIN,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,Urogenital & Pelvic System,URETHRA,PAIN,,
Vega Dharana - Shukra,Suppression of Urges - Semen (Ejaculation),Urogenital & Pelvic System,URETHRA,PAIN,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,Urogenital & Pelvic System,URINARY BLADDER,PAIN,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,Back & Spine,WAIST,PAIN,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,Body Waste & Excretions,MICTURITION,Obstruction of Urine,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Miscellaneous,NAUSEA,,
Vega Dharana - Shram Nishwas,Suppression of the urge to breathe properly during exercise ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,MENTAL INSTABILITY,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Vega Dharana - Shudha ,Suppression of Urge to Eat ,General Systemic Symptoms,Whole-Body Symptoms,LOSS OF WEIGHT,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Head & Face,EYES,Loss of Vision,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Head & Face,TOUNGE,Loss of taste,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Head & Face,NOSE,LOSS OF SMELL,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Head & Face,EARS,Loss of Hearing,,
Vega Dharana - Shudha ,Suppression of Urge to Eat ,Head & Face,FACE,Loss of Facial Complexion,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,LOSS OF CONCENTRATION,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Vega Dharana - Shudha ,Suppression of Urge to Eat ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Vega Dharana - Ashru ,Suppression of Urge to Cry (Tears),General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,Cutaneous symptoms,Leprotic Patches,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,SKIN,ITCHING,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Digestive System,Digestive Disorders,INDIGESTION ,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,Cutaneous symptoms,HYPERPIGMENTATION,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,Neck & Throat,THROAT,HICCUPS,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,Cutaneous symptoms,HERPES,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,Head & Face,EYES,HEAVINESS,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,Head & Face,HEAD,HEAVINESS,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Vital Organs,Stomach,Gurgling sound in stomach,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Head & Face,FACE,FREKCLES ,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Body Waste & Excretions,Vomitus,FOUL SMELL,Fecal Odor,
Vega Dharana - Shram Nishwas,Suppression of the urge to breathe properly during exercise ,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,Head & Face,FACE,FACIAL PARALYSIS,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,Head & Face,MOUTH,DRYNESS,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,Neck & Throat,THROAT,DRYNESS,,
Vega Dharana - Nindra ,Suppression of Urge to Sleep,General Systemic Symptoms,Altered Level of Consciousness,DROWSINESS,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,General Systemic Symptoms,Miscellaneous,DIZZINESS,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,Body Waste & Excretions,Flatus,Difficulty Passing Gas,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Body Waste & Excretions,FLATUS,Difficulty Passing Gas,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,LOWER BODY,CALFS,CRAMPS,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,LOWER BODY,THIGHS,CRAMPS,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,General Systemic Symptoms,Cough-related Symptoms,COUGH,,
Vega Dharana - Ashru ,Suppression of Urge to Cry (Tears),Head & Face,NOSE,CORYZA,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,General Systemic Symptoms,Whole-Body Symptoms,CONVULSIONS,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,General Systemic Symptoms,Whole-Body Symptoms,CONSTRICTION,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,Upper Body,CARDIAC REGION,CONSTRICTION,,
Vega Dharana - Udgaar ,Suppression of Urge to Eructate ,Upper Body,CHEST,CONSTRICTION,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,Upper Body,CHEST,CONSTRICTION,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,Urogenital & Pelvic System,PELVIC REGION,CONSTRICTION,,
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,Neck & Throat,THROAT,CONSTRICTION,,
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,Body waste & Excretions,DEFECATION,CONSTIPATION,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Body waste & Excretions,DEFECATION,CONSTIPATION,,
Vega Dharana - Shwathu,Suppression of Urge to Sneeze,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,CONFUSION,,
Vega Dharana - Shram Nishwas,Suppression of the urge to breathe properly during exercise ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,CONFUSION,,
Vega Dharana - Pyasa ,Suppression of Urge to Drink,Head & Face,EARS,Loss of hearing,Complete,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Head & Face,EYES,COLOR- ABNORMAL,YELLOW,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Head & Face,EYES,COLOR- ABNORMAL,WHITE,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Head & Face,FACE,COLOR- ABNORMAL,YELLOW,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Head & Face,FACE,COLOR- ABNORMAL,WHITE,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,SKIN,COLOR- ABNORMAL,YELLOW,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,SKIN,COLOR- ABNORMAL,WHITE,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,ABDOMINAL REGION,Epigastric Region,BURNING,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Neck & Throat,THROAT,BURNING,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Upper Body,CHEST,BURNING,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,Body Waste & Excretions,MICTURITION,BURNING,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,Urogenital & Pelvic System,PELVIC REGION,BULGING,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,General Systemic Symptoms,Miscellaneous,Body bending due to pelvic pain,, 
Vega Dharana - Apanavata,Suppression of the Urge to Pass Flatus,ABDOMINAL REGION,GENERAL ABDOMEN,BLOATING,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,ABDOMINAL REGION,GENERAL ABDOMEN,BLOATING,,
Vega Dharana - Shram Nishwas,Suppression of the urge to breathe properly during exercise ,ABDOMINAL REGION,GENERAL ABDOMEN,BLOATING,,
Vega Dharana - Purisha,Suppression of Urge to Defecate,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,ANXIETY ,,
Vega Dharana - Vamana ,Suppression of Urge to Vomit,Skin & External Features,Cutaneous symptoms,ACNE,,
Vega Dharana - Mutra,Suppression of Urges - Micturition,General Systemic Symptoms,Miscellaneous,Abnormal forward bending of the body,, 
Vega Dharana - Jambhai ,Suppression of Urge to Yawn,General Systemic Symptoms,Miscellaneous,Abnormal forward bending of the body,,
Vega Dharana - Shukra,Suppression of Urges - Semen (Ejaculation),Body Waste & Excretions,MICTURITION,ABNORMAL,Interrupted Urine Flow,Urine passes drop by drop
Vega Dharana - Purisha,Suppression of Urge to Defecate,Body Waste & Excretions,Stool,ABNORMAL,Desiccated Stool,
Vega Dharana - Purisha,Suppression of Urge to Defecate,Body Waste & Excretions,Vomitus,ABNORMAL,LIKE STOOL,
Vega Dharana - Shram Nishwas,Suppression of the urge to breathe properly during exercise ,ABDOMINAL REGION,GENERAL ABDOMEN,ABDOMINAL LUMP,,
VATA ARSHA,ACQUIRED VATA PILES ,General Systemic Symptoms,Whole-Body Symptoms,WEAKNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,ABDOMINAL REGION,GENERAL ABDOMEN,Upward Movement of Air in Abdomen,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,TWITCHING,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,EYES,Transient darkness or dimming sensation before the eyes,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Tingling Sensation,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,ANUS,SWELLING,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,PELVIC REGION,STIFFNESS ,,
VATA ARSHA,ACQUIRED VATA PILES ,General Systemic Symptoms,Whole-Body Symptoms,STIFFNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,GROINS,STIFFNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,PELVIC REGION,STIFFNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Back & Spine,SACRAL REGION,STIFFNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,SCROTUM,STIFFNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,URETHRA,STIFFNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,URINARY BLADDER,STIFFNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,FACE,ROUGHNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,ARMS & HANDS,NAILS,ROUGHNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Skin & External Features,SKIN,ROUGHNESS,,
VATA ARSHA,ACQUIRED VATA PILES ,Vital Organs,Heart,Abnormal Heart Rhythm,Palpitations,SEVERE
VATA ARSHA,ACQUIRED VATA PILES ,Back & Spine,BACK,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,General Systemic Symptoms,Whole-Body Symptoms,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,EARS,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,ABDOMINAL REGION,GENERAL ABDOMEN,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,HEAD,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,PAIN,NEEDLING,
VATA ARSHA,ACQUIRED VATA PILES ,ABDOMINAL REGION,LUMBAR REGION,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,NOSE,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,PELVIC REGION,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Back & Spine,SACRAL REGION,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,TEMPORAL REGION,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,LOWER BODY,THIGHS,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Back & Spine,WAIST,PAIN,,
VATA ARSHA,ACQUIRED VATA PILES ,Body Waste & Excretions,MICTURITION,Obstruction of Urine,,
VATA ARSHA,ACQUIRED VATA PILES ,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
VATA ARSHA,ACQUIRED VATA PILES ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,ANUS,ITCHING,,
VATA ARSHA,ACQUIRED VATA PILES ,Body waste & Excretions,Flatus,Irregular Flatus Pattern,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,TOUNGE,Insipid Taste,,
VATA ARSHA,ACQUIRED VATA PILES ,Head & Face,Head,Hot sensation,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,HORRIPILATION,,
VATA ARSHA,ACQUIRED VATA PILES ,General Systemic Symptoms,Speech and Voice Disorders,Hoarse Voice,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,"Hemorrhoids with sharp, pointed tips",,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Hemorrhoids with cracking or fissures,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Hemorrhoids with a wasted appearance,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Hemorrhoids with a rough surface,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Hemorrhoids with a hard texture,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Hemorrhoids with a curved shape,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Hemorrhoids spreading unevenly or irregularly,,
VATA ARSHA,ACQUIRED VATA PILES ,Urogenital & Pelvic System,HEMORRHOIDS,Hemorrhoids pacified with unctuous applications,,
VATA ARSHA,ACQUIRED VATA PILES ,General Systemic Symptoms,Speech and Voice Disorders,Feeble Voice,,
